group	key	x
1	pred	-5
2	pred	-4.98
3	pred	-4.96
4	pred	-4.94
5	pred	-4.92
6	pred	-4.9
7	pred	-4.88
8	pred	-4.86
9	pred	-4.84
10	pred	-4.82
11	pred	-4.8
12	pred	-4.78
13	pred	-4.76
14	pred	-4.74
15	pred	-4.72
16	pred	-4.7
17	pred	-4.68
18	pred	-4.66
19	pred	-4.64
20	pred	-4.62
21	pred	-4.6
22	pred	-4.58
23	pred	-4.56
24	pred	-4.54
25	pred	-4.52
26	pred	-4.5
27	pred	-4.48
28	pred	-4.46
29	pred	-4.44
30	pred	-4.42
31	pred	-4.4
32	pred	-4.38
33	pred	-4.36
34	pred	-4.34
35	pred	-4.32
36	pred	-4.3
37	pred	-4.28
38	pred	-4.26
39	pred	-4.24
40	pred	-4.22
41	pred	-4.2
42	pred	-4.18
43	pred	-4.16
44	pred	-4.14
45	pred	-4.12
46	pred	-4.1
47	pred	-4.08
48	pred	-4.06
49	pred	-4.04
50	pred	-4.02
51	pred	-4
52	pred	-3.98
53	pred	-3.96
54	pred	-3.94
55	pred	-3.92
56	pred	-3.9
57	pred	-3.88
58	pred	-3.86
59	pred	-3.84
60	pred	-3.82
61	pred	-3.8
62	pred	-3.78
63	pred	-3.76
64	pred	-3.74
65	pred	-3.72
66	pred	-3.7
67	pred	-3.68
68	pred	-3.66
69	pred	-3.64
70	pred	-3.62
71	pred	-3.6
72	pred	-3.58
73	pred	-3.56
74	pred	-3.54
75	pred	-3.52
76	pred	-3.5
77	pred	-3.48
78	pred	-3.46
79	pred	-3.44
80	pred	-3.42
81	pred	-3.4
82	pred	-3.38
83	pred	-3.36
84	pred	-3.34
85	pred	-3.32
86	pred	-3.3
87	pred	-3.28
88	pred	-3.26
89	pred	-3.24
90	pred	-3.22
91	pred	-3.2
92	pred	-3.18
93	pred	-3.16
94	pred	-3.14
95	pred	-3.12
96	pred	-3.1
97	pred	-3.08
98	pred	-3.06
99	pred	-3.04
100	pred	-3.02
101	pred	-3
102	pred	-2.98
103	pred	-2.96
104	pred	-2.94
105	pred	-2.92
106	pred	-2.9
107	pred	-2.88
108	pred	-2.86
109	pred	-2.84
110	pred	-2.82
111	pred	-2.8
112	pred	-2.78
113	pred	-2.76
114	pred	-2.74
115	pred	-2.72
116	pred	-2.7
117	pred	-2.68
118	pred	-2.66
119	pred	-2.64
120	pred	-2.62
121	pred	-2.6
122	pred	-2.58
123	pred	-2.56
124	pred	-2.54
125	pred	-2.52
126	pred	-2.5
127	pred	-2.48
128	pred	-2.46
129	pred	-2.44
130	pred	-2.42
131	pred	-2.4
132	pred	-2.38
133	pred	-2.36
134	pred	-2.34
135	pred	-2.32
136	pred	-2.3
137	pred	-2.28
138	pred	-2.26
139	pred	-2.24
140	pred	-2.22
141	pred	-2.2
142	pred	-2.18
143	pred	-2.16
144	pred	-2.14
145	pred	-2.12
146	pred	-2.1
147	pred	-2.08
148	pred	-2.06
149	pred	-2.04
150	pred	-2.02
151	pred	-2
152	pred	-1.98
153	pred	-1.96
154	pred	-1.94
155	pred	-1.92
156	pred	-1.9
157	pred	-1.88
158	pred	-1.86
159	pred	-1.84
160	pred	-1.82
161	pred	-1.8
162	pred	-1.78
163	pred	-1.76
164	pred	-1.74
165	pred	-1.72
166	pred	-1.7
167	pred	-1.68
168	pred	-1.66
169	pred	-1.64
170	pred	-1.62
171	pred	-1.6
172	pred	-1.58
173	pred	-1.56
174	pred	-1.54
175	pred	-1.52
176	pred	-1.5
177	pred	-1.48
178	pred	-1.46
179	pred	-1.44
180	pred	-1.42
181	pred	-1.4
182	pred	-1.38
183	pred	-1.36
184	pred	-1.34
185	pred	-1.32
186	pred	-1.3
187	pred	-1.28
188	pred	-1.26
189	pred	-1.24
190	pred	-1.22
191	pred	-1.2
192	pred	-1.18
193	pred	-1.16
194	pred	-1.14
195	pred	-1.12
196	pred	-1.1
197	pred	-1.08
198	pred	-1.06
199	pred	-1.04
200	pred	-1.02
201	pred	-1
202	pred	-0.98
203	pred	-0.96
204	pred	-0.94
205	pred	-0.92
206	pred	-0.9
207	pred	-0.88
208	pred	-0.86
209	pred	-0.84
210	pred	-0.82
211	pred	-0.8
212	pred	-0.78
213	pred	-0.76
214	pred	-0.74
215	pred	-0.72
216	pred	-0.7
217	pred	-0.68
218	pred	-0.66
219	pred	-0.64
220	pred	-0.62
221	pred	-0.6
222	pred	-0.58
223	pred	-0.56
224	pred	-0.54
225	pred	-0.52
226	pred	-0.5
227	pred	-0.48
228	pred	-0.46
229	pred	-0.44
230	pred	-0.42
231	pred	-0.399999999999999
232	pred	-0.38
233	pred	-0.36
234	pred	-0.34
235	pred	-0.32
236	pred	-0.3
237	pred	-0.28
238	pred	-0.26
239	pred	-0.24
240	pred	-0.22
241	pred	-0.2
242	pred	-0.18
243	pred	-0.16
244	pred	-0.14
245	pred	-0.12
246	pred	-0.0999999999999996
247	pred	-0.0800000000000001
248	pred	-0.0599999999999996
249	pred	-0.04
250	pred	-0.0199999999999996
251	pred	0
252	pred	0.0200000000000005
253	pred	0.04
254	pred	0.0600000000000005
255	pred	0.0800000000000001
256	pred	0.100000000000001
257	pred	0.12
258	pred	0.14
259	pred	0.16
260	pred	0.18
261	pred	0.2
262	pred	0.22
263	pred	0.24
264	pred	0.26
265	pred	0.28
266	pred	0.3
267	pred	0.32
268	pred	0.34
269	pred	0.36
270	pred	0.38
271	pred	0.4
272	pred	0.42
273	pred	0.44
274	pred	0.46
275	pred	0.48
276	pred	0.5
277	pred	0.520000000000001
278	pred	0.54
279	pred	0.560000000000001
280	pred	0.58
281	pred	0.600000000000001
282	pred	0.62
283	pred	0.64
284	pred	0.66
285	pred	0.68
286	pred	0.7
287	pred	0.72
288	pred	0.74
289	pred	0.76
290	pred	0.78
291	pred	0.8
292	pred	0.82
293	pred	0.84
294	pred	0.86
295	pred	0.88
296	pred	0.9
297	pred	0.92
298	pred	0.94
299	pred	0.96
300	pred	0.98
301	pred	1
302	pred	1.02
303	pred	1.04
304	pred	1.06
305	pred	1.08
306	pred	1.1
307	pred	1.12
308	pred	1.14
309	pred	1.16
310	pred	1.18
311	pred	1.2
312	pred	1.22
313	pred	1.24
314	pred	1.26
315	pred	1.28
316	pred	1.3
317	pred	1.32
318	pred	1.34
319	pred	1.36
320	pred	1.38
321	pred	1.4
322	pred	1.42
323	pred	1.44
324	pred	1.46
325	pred	1.48
326	pred	1.5
327	pred	1.52
328	pred	1.54
329	pred	1.56
330	pred	1.58
331	pred	1.6
332	pred	1.62
333	pred	1.64
334	pred	1.66
335	pred	1.68
336	pred	1.7
337	pred	1.72
338	pred	1.74
339	pred	1.76
340	pred	1.78
341	pred	1.8
342	pred	1.82
343	pred	1.84
344	pred	1.86
345	pred	1.88
346	pred	1.9
347	pred	1.92
348	pred	1.94
349	pred	1.96
350	pred	1.98
351	pred	2
352	pred	2.02
353	pred	2.04
354	pred	2.06
355	pred	2.08
356	pred	2.1
357	pred	2.12
358	pred	2.14
359	pred	2.16
360	pred	2.18
361	pred	2.2
362	pred	2.22
363	pred	2.24
364	pred	2.26
365	pred	2.28
366	pred	2.3
367	pred	2.32
368	pred	2.34
369	pred	2.36
370	pred	2.38
371	pred	2.4
372	pred	2.42
373	pred	2.44
374	pred	2.46
375	pred	2.48
376	pred	2.5
377	pred	2.52
378	pred	2.54
379	pred	2.56
380	pred	2.58
381	pred	2.6
382	pred	2.62
383	pred	2.64
384	pred	2.66
385	pred	2.68
386	pred	2.7
387	pred	2.72
388	pred	2.74
389	pred	2.76
390	pred	2.78
391	pred	2.8
392	pred	2.82
393	pred	2.84
394	pred	2.86
395	pred	2.88
396	pred	2.9
397	pred	2.92
398	pred	2.94
399	pred	2.96
400	pred	2.98
401	pred	3
402	pred	3.02
403	pred	3.04
404	pred	3.06
405	pred	3.08
406	pred	3.1
407	pred	3.12
408	pred	3.14
409	pred	3.16
410	pred	3.18
411	pred	3.2
412	pred	3.22
413	pred	3.24
414	pred	3.26
415	pred	3.28
416	pred	3.3
417	pred	3.32
418	pred	3.34
419	pred	3.36
420	pred	3.38
421	pred	3.4
422	pred	3.42
423	pred	3.44
424	pred	3.46
425	pred	3.48
426	pred	3.5
427	pred	3.52
428	pred	3.54
429	pred	3.56
430	pred	3.58
431	pred	3.6
432	pred	3.62
433	pred	3.64
434	pred	3.66
435	pred	3.68
436	pred	3.7
437	pred	3.72
438	pred	3.74
439	pred	3.76
440	pred	3.78
441	pred	3.8
442	pred	3.82
443	pred	3.84
444	pred	3.86
445	pred	3.88
